Handle;Block;Attribute;Matricule;X;Y;Z;Altitude;Delta
'36B3D;TCPOINT;MAT;54393;1491701,26;3238507,03;0,00;29,44;29,44
'368C9;TCPOINT;MAT;54160;1491699,26;3238507,03;0,00;29,45;29,45
'36DB1;TCPOINT;MAT;54626;1491703,26;3238507,03;0,00;29,58;29,58
'36651;TCPOINT;MAT;53927;1491697,26;3238507,02;0,00;29,58;29,58
'363D9;TCPOINT;MAT;53694;1491695,26;3238507,02;0,00;29,71;29,71
'3615D;TCPOINT;MAT;53461;1491693,26;3238507,02;0,00;29,81;29,81
'36B41;TCPOINT;MAT;54394;1491701,26;3238505,03;0,00;29,84;29,84
'368CD;TCPOINT;MAT;54161;1491699,26;3238505,03;0,00;29,85;29,85
'3701D;TCPOINT;MAT;54859;1491705,26;3238507,03;0,00;29,89;29,89
'37739;TCPOINT;MAT;55558;1491711,26;3238507,04;0,00;29,90;29,90
'374E9;TCPOINT;MAT;55325;1491709,26;3238507,04;0,00;29,91;29,91
'35EDD;TCPOINT;MAT;53228;1491691,26;3238507,01;0,00;29,91;29,91
'37289;TCPOINT;MAT;55092;1491707,26;3238507,04;0,00;29,93;29,93
'36DB5;TCPOINT;MAT;54627;1491703,26;3238505,03;0,00;29,93;29,93
'36655;TCPOINT;MAT;53928;1491697,26;3238505,02;0,00;29,97;29,97
'36B45;TCPOINT;MAT;54395;1491701,26;3238503,03;0,00;30,06;30,06
'37021;TCPOINT;MAT;54860;1491705,26;3238505,03;0,00;30,11;30,11
'363DD;TCPOINT;MAT;53695;1491695,26;3238505,02;0,00;30,13;30,13
'35C61;TCPOINT;MAT;52995;1491689,26;3238507,01;0,00;30,15;30,15
'36161;TCPOINT;MAT;53462;1491693,26;3238505,02;0,00;30,21;30,21
'3728D;TCPOINT;MAT;55093;1491707,26;3238505,04;0,00;30,22;30,22
'3797D;TCPOINT;MAT;55791;1491713,26;3238507,05;0,00;30,26;30,26
'35EE1;TCPOINT;MAT;53229;1491691,26;3238505,01;0,00;30,26;30,26
'A4BF;TCPOINT;MAT;2080;1491678,23;3238499,05;0,00;32,52;32,52
'409C6;TCPOINT;MAT;7871;1491670,79;3238505,20;0,00;32,64;32,64
'40B0E;TCPOINT;MAT;7953;1491675,80;3238500,21;0,00;32,65;32,65
'A4AF;TCPOINT;MAT;2076;1491724,70;3238505,39;0,00;32,73;32,73
'40C66;TCPOINT;MAT;8039;1491680,81;3238495,21;0,00;32,83;32,83
'A4BB;TCPOINT;MAT;2079;1491692,78;3238495,33;0,00;32,91;32,91
'409CA;TCPOINT;MAT;7872;1491670,80;3238500,20;0,00;32,93;32,93
'A4B3;TCPOINT;MAT;2077;1491710,64;3238499,79;0,00;32,99;32,99
'40DC2;TCPOINT;MAT;8126;1491685,81;3238495,22;0,00;33,01;33,01
'A4B7;TCPOINT;MAT;2078;1491701,27;3238496,36;0,00;33,07;33,07
'40B12;TCPOINT;MAT;7954;1491675,81;3238495,21;0,00;33,08;33,08
'40892;TCPOINT;MAT;7794;1491665,79;3238505,19;0,00;33,08;33,08
'41B02;TCPOINT;MAT;8974;1491730,80;3238505,28;0,00;33,17;33,17
'40896;TCPOINT;MAT;7795;1491665,80;3238500,19;0,00;33,21;33,21
'409CE;TCPOINT;MAT;7873;1491670,81;3238495,20;0,00;33,25;33,25
'41646;TCPOINT;MAT;8671;1491715,80;3238500,26;0,00;33,26;33,26
'411F2;TCPOINT;MAT;8394;1491700,81;3238495,24;0,00;33,32;33,32
'417EA;TCPOINT;MAT;8776;1491720,81;3238500,27;0,00;33,38;33,38
'4135A;TCPOINT;MAT;8484;1491705,81;3238495,25;0,00;33,45;33,45
'41C76;TCPOINT;MAT;9067;1491735,80;3238505,29;0,00;33,48;33,48
'4076A;TCPOINT;MAT;7720;1491660,79;3238505,19;0,00;33,48;33,48
'40C6A;TCPOINT;MAT;8040;1491680,81;3238490,21;0,00;33,49;33,49
'40B16;TCPOINT;MAT;7955;1491675,81;3238490,20;0,00;33,53;33,53
