;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
F16BA1;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,52;=$G$1*($I$1+D3)
F170C7;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,74;=$G$1*($I$1+D4)
F170B3;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,74;=$G$1*($I$1+D5)
F17095;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,74;=$G$1*($I$1+D6)
F17021;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,74;=$G$1*($I$1+D7)
F170C6;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,92;=$G$1*($I$1+D8)
F170B2;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,92;=$G$1*($I$1+D9)
F17094;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,92;=$G$1*($I$1+D10)
F1701F;UBS-300-Fourreaux CFa (TPC63);Polyligne;4,92;=$G$1*($I$1+D11)
F170CB;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,43;=$G$1*($I$1+D12)
F170B7;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,43;=$G$1*($I$1+D13)
F1709B;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,43;=$G$1*($I$1+D14)
F16AEB;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,44;=$G$1*($I$1+D15)
F16AED;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,47;=$G$1*($I$1+D16)
F17024;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,54;=$G$1*($I$1+D17)
EE1203;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,54;=$G$1*($I$1+D18)
F170CA;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,76;=$G$1*($I$1+D19)
F170B6;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,76;=$G$1*($I$1+D20)
F17098;UBS-300-Fourreaux CFa (TPC63);Polyligne;5,76;=$G$1*($I$1+D21)
F17027;UBS-300-Fourreaux CFa (TPC63);Polyligne;6,11;=$G$1*($I$1+D22)
F16BAF;UBS-300-Fourreaux CFa (TPC63);Polyligne;6,11;=$G$1*($I$1+D23)
F17026;UBS-300-Fourreaux CFa (TPC63);Polyligne;6,32;=$G$1*($I$1+D24)
F16BAE;UBS-300-Fourreaux CFa (TPC63);Polyligne;6,32;=$G$1*($I$1+D25)
F2FDDD;UBS-300-Fourreaux CFa (TPC63);Polyligne;16,92;=$G$1*($I$1+D26)
EDFE1F;UBS-300-Fourreaux CFa (TPC63);Polyligne;57,14;=$G$1*($I$1+D27)
F2E0B9;UBS-300-Fourreaux CFa (TPC63);Polyligne;76,89;=$G$1*($I$1+D28)
EDFE2B;UBS-300-Fourreaux CFa (TPC63);Polyligne;95,81;=$G$1*($I$1+D29)
EDFE29;UBS-300-Fourreaux CFa (TPC63);Polyligne;148,09;=$G$1*($I$1+D30)
